click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
0,1005,0,275,1,12,0,438,2143,67,1,0,320,50,0,0,2237,720,720,720,95,232
0,1002,0,225,4,12,0,358,196,709,0,0,300,50,0,0,2296,4,4,4,95,232
0,1005,0,275,1,12,0,438,3697,157,1,0,320,50,0,0,3902,720,720,720,95,232
1,1005,0,275,1,12,0,438,403,108,1,0,320,50,0,0,428,720,720,720,95,232
0,1005,1,278,6,12,0,438,3399,448,1,0,320,50,0,1,3576,1,1,1,100,232
0,1005,1,7,12,12,0,438,3671,393,1,0,320,50,0,1,3872,30,30,30,100,232
0,1005,1,217,2,12,0,438,3860,406,1,0,320,50,0,1,4074,3,3,3,100,232
0,1005,1,137,12,12,0,438,1641,8,1,0,320,50,0,1,1721,266,266,266,100,232
0,1005,0,125,3,12,0,438,1953,393,1,0,300,250,0,1,2043,97,97,97,100,232
0,1005,0,225,4,31,9,448,240,475,1,2,320,50,0,2,2792,1499,1499,1499,136,239
0,1005,0,216,12,12,0,438,3829,453,1,0,320,50,0,2,4044,23,23,23,136,232
0,1005,0,242,2,12,0,438,3850,719,1,0,320,50,0,2,4065,1,1,1,136,232
0,1005,0,275,1,12,0,438,3216,128,1,0,320,50,0,2,3384,720,720,720,136,232
0,1005,0,275,1,12,0,438,1991,123,1,0,320,50,0,2,2086,720,720,720,136,232
0,1005,1,175,12,12,0,438,2786,540,1,0,320,50,0,2,2936,99,99,99,136,232
0,1005,0,9,12,12,0,438,2486,362,1,0,320,50,0,2,2616,1,1,1,136,232
1,1005,0,225,4,3,6,198,3773,766,1,0,320,50,0,2,1273,1499,1499,1499,136,208
1,1005,0,225,4,15,2,438,3130,577,1,0,320,50,0,2,3295,1499,1499,1499,136,255
1,1005,0,225,4,6,12,438,2852,466,1,2,320,50,0,2,3001,1499,1499,1499,136,14
0,1005,1,175,12,12,0,438,62,67,1,0,320,50,0,2,67,99,99,99,136,232
0,1005,0,275,1,12,0,438,2378,453,1,0,320,50,0,2,2510,720,720,720,136,232
0,1005,0,254,12,12,0,438,2865,453,1,0,320,50,0,2,3017,1,1,1,136,232
0,1005,0,96,12,12,0,438,756,483,1,0,320,50,0,2,790,17,17,17,136,232
0,1005,0,275,1,12,0,438,1925,67,1,0,320,50,0,3,2016,720,720,720,156,232
0,1005,1,38,1,12,0,438,761,313,1,0,320,50,0,3,794,6,6,6,156,232
1,1005,1,137,12,12,0,438,3715,436,1,0,216,36,0,3,3920,266,266,266,156,232
0,1005,0,275,1,12,0,438,1426,848,1,0,320,50,0,3,1498,720,720,720,156,232
0,1005,0,221,12,12,0,438,3095,638,1,0,320,50,0,3,3259,1,1,1,156,232
1,1005,0,225,4,3,2,438,146,746,1,0,320,50,0,3,155,1499,1499,1499,156,117
1,1005,0,275,1,12,0,438,238,108,1,0,320,50,0,3,258,720,720,720,156,232
0,1005,0,275,1,12,0,438,2834,123,1,0,320,50,0,3,2981,720,720,720,156,232
1,1005,0,225,4,27,2,438,2982,577,1,0,320,50,0,3,3146,1499,1499,1499,156,224
0,1010,1,225,4,12,2,388,2130,406,4,0,320,50,0,4,2435,1499,1499,1499,199,256
0,1005,0,164,3,12,0,438,958,654,1,0,320,50,0,4,993,1,1,1,199,232
0,1005,1,94,12,12,0,438,3689,393,1,0,320,50,0,4,3893,33,33,33,199,232
0,1005,0,6,12,12,0,438,1863,205,1,0,320,50,0,4,1946,8,8,8,199,232
0,1005,0,225,4,8,2,653,2824,856,1,0,320,50,0,4,4092,1499,1499,1499,199,219
0,1005,1,15,12,12,0,438,1141,393,1,0,320,50,0,4,1195,79,79,79,199,232
1,1005,0,225,4,3,2,438,3364,763,1,2,320,50,0,4,3539,1499,1499,1499,199,137
1,1005,0,275,1,12,0,438,1985,526,1,0,320,50,0,4,2077,720,720,720,199,232
1,1005,0,275,1,12,0,438,878,294,1,0,320,50,0,4,916,720,720,720,199,232
0,1005,1,118,3,12,0,438,1162,456,1,0,320,50,0,4,1215,1,1,1,199,232
0,1002,0,3,4,12,0,279,3892,478,0,0,320,50,0,4,1834,3,3,3,199,232
0,1005,0,216,12,12,0,438,1532,805,1,0,320,50,0,4,1603,23,23,23,199,232
0,1005,0,225,4,3,9,438,2622,114,1,2,320,50,0,5,2760,1499,1499,1499,208,44
1,1005,0,225,4,3,12,438,3460,736,1,0,320,50,0,5,3646,1499,1499,1499,208,148
0,1005,0,246,1,12,0,438,967,453,1,0,320,50,0,5,1001,16,16,16,208,232
0,1005,1,83,12,12,0,438,3530,362,1,0,320,50,0,5,3719,24,24,24,208,232
0,1005,0,225,4,3,2,438,819,225,1,2,320,50,0,5,853,1499,1499,1499,208,94
0,1005,0,225,4,3,2,438,2031,3,1,0,320,50,0,5,2127,1499,1499,1499,208,99
0,1005,0,171,12,12,0,438,108,393,1,0,320,50,0,5,115,35,35,35,208,232
0,1005,1,225,12,12,0,438,1216,374,1,0,320,50,0,5,1268,2,2,2,208,232
0,1005,1,15,12,12,0,438,386,17,1,0,320,50,0,5,412,79,79,79,208,232
0,1005,1,111,3,12,0,438,3674,863,1,0,320,50,0,5,3879,1,1,1,208,232
0,1005,0,225,4,3,12,438,1739,531,1,2,320,50,0,5,1827,1499,1499,1499,208,48
0,1002,0,61,4,12,0,175,993,827,0,0,320,50,0,5,1101,2,2,2,208,232
0,1005,1,175,12,12,0,438,2513,123,1,0,320,50,0,5,2645,99,99,99,208,232
0,1005,0,225,4,3,12,438,828,418,1,0,320,50,0,5,865,1499,1499,1499,208,148
0,1005,0,225,4,11,2,12,551,377,1,0,320,50,0,5,63,1499,1499,1499,208,98
1,1005,0,225,4,11,2,336,2792,293,1,2,320,50,0,5,2162,1499,1499,1499,208,98
0,1005,0,225,4,11,2,438,1447,575,1,0,320,50,0,5,1519,1499,1499,1499,208,98
0,1002,0,225,4,12,0,484,973,570,0,0,320,50,0,5,3012,1499,1499,1499,208,11
0,1005,0,225,4,8,2,438,1436,742,1,0,320,50,0,5,1507,1499,1499,1499,208,219
1,1005,0,239,1,12,0,438,427,676,1,0,320,50,0,5,458,14,14,14,208,232
0,1005,0,225,4,3,6,265,797,123,1,0,320,50,0,6,1699,1499,1499,1499,173,1
0,1005,1,137,12,12,0,438,230,793,1,0,216,36,0,6,248,266,266,266,173,232
0,1005,0,225,4,8,2,483,2458,779,1,0,320,50,0,6,3009,1499,1499,1499,173,219
0,1005,0,225,4,3,2,641,2671,763,1,2,320,50,0,6,4007,1499,1499,1499,173,86
0,1005,0,225,4,11,2,438,1405,746,1,0,320,50,0,7,1474,1499,1499,1499,174,98
0,1005,0,225,4,3,12,438,614,639,1,0,320,50,0,7,641,1499,1499,1499,174,148
0,1005,0,41,12,12,0,438,2874,26,1,0,320,50,0,7,3028,37,37,37,174,232
1,1005,0,275,1,12,0,438,491,271,1,0,320,50,0,7,520,720,720,720,174,232
0,1005,1,83,12,12,0,438,1414,92,1,0,320,50,0,7,1482,24,24,24,174,232
0,1002,0,59,4,12,0,401,2331,246,0,0,320,50,0,7,2520,1,1,1,174,232
1,1005,0,206,12,12,0,438,113,746,1,0,320,50,0,7,119,6,6,6,174,232
0,1005,1,83,12,12,0,438,2720,453,1,0,320,50,0,7,2868,24,24,24,174,232
0,1005,1,16,12,12,0,438,1598,746,1,0,320,50,0,7,1680,27,27,27,174,232
0,1005,0,225,4,3,6,384,1435,373,1,3,320,50,0,7,2408,1499,1499,1499,174,100
0,1005,0,225,4,3,2,414,908,651,1,0,320,50,0,7,2597,1499,1499,1499,174,86
1,1005,0,275,1,12,0,438,379,453,1,0,320,50,0,7,404,720,720,720,174,232
0,1005,1,15,12,12,0,438,416,216,1,0,320,50,0,8,440,79,79,79,201,232
0,1005,1,7,12,12,0,438,2275,440,1,0,320,50,0,8,2390,30,30,30,201,232
0,1005,0,125,3,12,0,438,1892,589,1,0,300,250,0,8,1981,97,97,97,201,232
0,1005,0,178,3,12,0,438,2985,393,1,0,320,50,0,8,3149,6,6,6,201,232
0,1005,1,114,12,12,0,438,871,578,1,0,320,50,0,8,907,6,6,6,201,232
0,1002,0,243,4,12,0,283,467,541,0,0,320,50,0,8,1845,1,1,1,201,232
1,1005,0,225,4,3,9,527,3048,677,1,3,320,50,0,8,3316,1499,1499,1499,201,131
1,1005,0,225,4,28,9,438,2855,746,1,0,320,50,0,8,3003,1499,1499,1499,201,230
1,1005,0,225,4,3,12,438,1030,560,1,0,320,50,0,9,1074,1499,1499,1499,252,18
0,1005,0,216,12,12,0,438,1609,402,1,0,320,50,0,9,1690,23,23,23,252,232
0,1005,1,175,12,12,0,438,3356,805,1,0,320,50,0,9,3525,99,99,99,252,232
0,1002,0,115,4,12,0,249,25,246,0,0,300,50,0,9,1562,3,3,3,252,232
0,1005,1,142,1,12,0,438,3625,738,1,0,320,50,0,9,3821,15,15,15,252,232
0,1005,0,275,1,12,0,438,3244,322,1,2,320,50,0,10,3408,720,720,720,232,232
0,1005,0,225,4,24,2,438,1805,123,1,0,320,50,0,10,1893,1499,1499,1499,232,159
0,1005,0,225,4,8,2,438,2904,62,1,2,320,50,0,10,3067,1499,1499,1499,232,219
0,1005,0,2,12,12,0,438,54,268,1,0,320,50,0,10,58,1,1,1,232,232
0,1005,1,224,12,12,0,438,2445,532,1,0,320,50,0,10,2575,34,34,34,232,232
0,1005,1,4,2,12,0,438,2188,258,1,0,320,50,0,10,2286,4,4,4,232,232
1,1005,0,175,12,12,0,438,3171,123,1,0,320,50,0,10,3340,99,99,99,232,232
0,1002,0,232,4,12,0,304,905,77,0,0,320,50,0,10,1996,2,2,2,232,232
0,1005,1,7,12,12,0,438,3397,393,1,0,320,50,0,10,3575,30,30,30,232,232
0,1005,0,225,4,6,12,438,147,85,1,0,320,50,0,10,156,1499,1499,1499,232,14
0,1002,0,225,4,12,0,169,221,709,0,0,320,50,0,10,1042,4,4,4,232,232
0,1005,0,225,4,20,2,438,2076,777,1,2,320,50,0,10,2174,1499,1499,1499,232,211
